SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
18	1158	13769	13769
0	1159	3893324	2217585
1	1159	8241	8241
2	1159	15157	15157
3	1159	12332	12332
4	1159	10786	10786
5	1159	14208	14208
6	1159	12363	12363
7	1159	6940	6940
8	1159	7370	7370
9	1159	9687	9687
10	1159	12976	12976
11	1159	11722	11722
12	1159	9027	9027
13	1159	9935	9935
14	1159	10798	10798
15	1159	10192	10192
16	1159	11954	11954
17	1159	11299	11299
18	1159	13593	13593
0	1160	3897855	2144137
1	1160	7908	7908
2	1160	14856	14856
3	1160	12074	12074
4	1160	10646	10646
5	1160	13866	13866
6	1160	11953	11953
7	1160	6767	6767
8	1160	7388	7388
9	1160	9223	9223
10	1160	12788	12788
11	1160	11137	11137
12	1160	9040	9040
13	1160	9702	9702
14	1160	10663	10663
15	1160	9678	9678
16	1160	11769	11769
17	1160	11019	11019
18	1160	13572	13572
0	1161	3893359	2213788
1	1161	8216	8216
2	1161	15148	15148
3	1161	12466	12466
4	1161	10554	10554
5	1161	14184	14184
6	1161	12077	12077
7	1161	6958	6958
8	1161	7189	7189
9	1161	9650	9650
10	1161	13052	13052
11	1161	11857	11857
12	1161	9277	9277
13	1161	9720	9720
14	1161	10826	10826
15	1161	10325	10325
16	1161	12156	12156
17	1161	11252	11252
18	1161	13638	13638
0	1162	3890318	2244579
1	1162	8392	8392
2	1162	15727	15727
3	1162	12584	12584
4	1162	10915	10915
5	1162	14442	14442
6	1162	12392	12392
7	1162	7007	7007
8	1162	7505	7505
9	1162	9708	9708
10	1162	13158	13158
11	1162	11765	11765
12	1162	9249	9249
13	1162	10127	10127
14	1162	10969	10969
15	1162	10271	10271
16	1162	11982	11982
17	1162	11503	11503
18	1162	13890	13890
0	1163	3891994	2227660
1	1163	8188	8188
2	1163	15594	15594
3	1163	12629	12629
4	1163	10922	10922
5	1163	14442	14442
6	1163	12268	12268
7	1163	7114	7114
8	1163	7649	7649
9	1163	9551	9551
10	1163	13248	13248
11	1163	11741	11741
12	1163	9042	9042
13	1163	9957	9957
14	1163	10763	10763
15	1163	10010	10010
16	1163	11996	11996
17	1163	11134	11134
18	1163	13662	13662
0	1164	3892159	2212709
1	1164	8259	8259
2	1164	15764	15764
3	1164	12449	12449
4	1164	10773	10773
5	1164	14178	14178
6	1164	12154	12154
7	1164	7238	7238
8	1164	7462	7462
9	1164	9832	9832
10	1164	12866	12866
11	1164	11803	11803
12	1164	9324	9324
13	1164	9838	9838
14	1164	10706	10706
15	1164	10085	10085
16	1164	11854	11854
17	1164	11398	11398
18	1164	13762	13762
0	1165	3889312	2253609
1	1165	8528	8528
2	1165	15840	15840
3	1165	12763	12763
4	1165	10912	10912
5	1165	14537	14537
6	1165	12395	12395
7	1165	7049	7049
8	1165	7596	7596
9	1165	9782	9782
10	1165	13193	13193
11	1165	11894	11894
12	1165	9353	9353
13	1165	10079	10079
14	1165	10747	10747
15	1165	10374	10374
16	1165	12020	12020
17	1165	11705	11705
18	1165	13825	13825
0	1166	3890210	2239410
1	1166	8051	8051
2	1166	15294	15294
3	1166	12720	12720
4	1166	11004	11004
5	1166	14479	14479
6	1166	12352	12352
7	1166	7168	7168
8	1166	7518	7518
9	1166	9620	9620
10	1166	13386	13386
11	1166	12013	12013
12	1166	9104	9104
