Channel State,Experiment Time (minutes),State Time (samples)
adapter,1104,9542098
adapter,1105,9563108
adapter,1106,9519435
adapter,1107,9165204
adapter,1108,9135822
adapter,1109,9552269
adapter,1110,9366502
adapter,1111,9352485
adapter,1112,9638688
adapter,1113,9492165
adapter,1114,9556985
adapter,1115,9465605
adapter,1116,9497606
adapter,1117,9058547
adapter,1118,9239787
adapter,1119,9315080
adapter,1120,9043528
adapter,1121,9189582
adapter,1122,9500785
adapter,1123,9083286
adapter,1124,9224833
adapter,1125,9440734
adapter,1126,8730336
adapter,1127,8919470
adapter,1128,8860694
adapter,1129,9063856
adapter,1130,8955482
adapter,1131,8847303
adapter,1132,9157516
adapter,1133,8806135
adapter,1134,8949971
adapter,1135,9226367
adapter,1136,8815377
adapter,1137,9238889
adapter,1138,9041264
adapter,1139,8932361
adapter,1140,8836896
adapter,1141,9014319
adapter,1142,8691931
adapter,1143,8701716
adapter,1144,8804586
adapter,1145,8918333
adapter,1146,8855355
adapter,1147,8655290
adapter,1148,8715020
adapter,1149,2073936
adapter,1150,10912
adapter,1151,1336479
adapter,1152,3215326
adapter,1153,3513163
adapter,1154,3363232
adapter,1155,10632121
adapter,1156,10038475
adapter,1157,10100506
adapter,1158,9512651
adapter,1159,9837578
adapter,1160,9689444
adapter,1161,9681471
adapter,1162,9725364
adapter,1163,9536588
adapter,1164,9594346
adapter,1165,9619266
adapter,1166,9429537
adapter,1167,9730205
adapter,1168,9586294
adapter,1169,9469283
adapter,1170,9421236
adapter,1171,9601836
adapter,1172,9348866
adapter,1173,9586551
adapter,1174,9430098
adapter,1175,9366324
adapter,1176,9127310
adapter,1177,9367580
adapter,1178,9329408
adapter,1179,9358939
adapter,1180,9497739
adapter,1181,9498163
adapter,1182,9409232
adapter,1183,9153233
adapter,1184,9526448
adapter,1185,9173323
adapter,1186,9350410
adapter,1187,9164968
adapter,1188,9188998
adapter,1189,9249257
adapter,1190,8888716
adapter,1191,8956713
adapter,1192,9134157
adapter,1193,8899890
adapter,1194,8851003
adapter,1195,8784376
adapter,1196,8959155
adapter,1197,8995980
adapter,1198,8606106
adapter,1199,8649818
adapter,1200,8883991
adapter,1201,8799227
adapter,1202,8952689
adapter,1203,8780294
adapter,1204,9018151
adapter,1205,8694154
adapter,1206,8872754
adapter,1207,8963387
adapter,1208,8981813
adapter,1209,8705433
adapter,1210,8788519
adapter,1211,8877787
adapter,1212,8716715
adapter,1213,8685299
adapter,1214,8863884
adapter,1215,8690887
adapter,1216,8756847
adapter,1217,8661502
adapter,1218,8514078
adapter,1219,8721759
adapter,1220,8550554
adapter,1221,8536246
adapter,1222,8633473
adapter,1223,8648592
adapter,1224,8648671
adapter,1225,8474227
adapter,1226,8534825
adapter,1227,8351200
adapter,1228,8563893
adapter,1229,8558496
adapter,1230,8721289
adapter,1231,8400243
adapter,1232,8163933
adapter,1233,8420920
adapter,1234,8244273
adapter,1235,8312967
adapter,1236,8216549
adapter,1237,8233548
adapter,1238,8300855
adapter,1239,8292556
adapter,1240,8206603
adapter,1241,8134530
adapter,1242,8173550
adapter,1243,8080786
adapter,1244,7786090
adapter,1245,229422
adapter,1246,11660
adapter,1247,2353414
adapter,1248,3336242
adapter,1249,3564729
adapter,1250,4642190
adapter,1251,9357309
adapter,1252,9300554
adapter,1253,8886374
adapter,1254,8739129
adapter,1255,8679256
adapter,1256,8823027
adapter,1257,8660968
adapter,1258,8919086
adapter,1259,8882294
adapter,1260,8765910
adapter,1261,8589111
adapter,1262,8736903
adapter,1263,8402852
adapter,1264,8476137
adapter,1265,8492024
adapter,1266,8323275
adapter,1267,8296720
adapter,1268,8300695
adapter,1269,8568517
adapter,1270,8434675
adapter,1271,8313786
adapter,1272,8252766
adapter,1273,8238145
adapter,1274,8408193
adapter,1275,8228137
adapter,1276,8023139
adapter,1277,8430873
adapter,1278,8271872
adapter,1279,8143347
adapter,1280,8236817
adapter,1281,8080512
adapter,1282,8216060
adapter,1283,8153176
adapter,1284,8164076
adapter,1285,8146053
adapter,1286,7928019
adapter,1287,8078261
adapter,1288,8305908
adapter,1289,7949910
adapter,1290,8221734
adapter,1291,8108917
adapter,1292,8001154
adapter,1293,8040896
adapter,1294,7797262
adapter,1295,7835898
adapter,1296,7890158
adapter,1297,8053430
adapter,1298,7817411
adapter,1299,7689016
adapter,1300,8299224
adapter,1301,7566402
adapter,1302,7688467
adapter,1303,7845596
adapter,1304,7727999
adapter,1305,7673519
adapter,1306,7709102
adapter,1307,7999806
adapter,1308,7707142
adapter,1309,7794265
adapter,1310,7638664
adapter,1311,7663330
adapter,1312,7764827
adapter,1313,7929860
adapter,1314,7434115
adapter,1315,7474937
adapter,1316,7720971
adapter,1317,7879869
adapter,1318,7389265
adapter,1319,7755457
adapter,1320,7624736
adapter,1321,7691527
adapter,1322,7315549
adapter,1323,7534255
adapter,1324,7630773
adapter,1325,7500724
adapter,1326,7539695
adapter,1327,7546393
adapter,1328,7653487
adapter,1329,7618851
adapter,1330,7592787
adapter,1331,7505323
adapter,1332,7623425
adapter,1333,7634990
adapter,1334,7242320
adapter,1335,7262034
adapter,1336,7245538
adapter,1337,7416306
adapter,1338,7180739
adapter,1339,7378870
adapter,1340,5284944
adapter,1341,23561
adapter,1342,18243
adapter,1343,2736137
adapter,1344,3243531
adapter,1345,3390149
adapter,1346,6659773
adapter,1347,8332195
adapter,1348,8396299
adapter,1349,8481386
adapter,1350,8222216
adapter,1351,8245713
adapter,1352,8141308
adapter,1353,8189391
adapter,1354,8051094
