Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
its-D01_S155_L001_R2_001	97.0815347437047	54.0	250.12893735267397	251	36.36363636363637	0.6736759999999999
its-D02_S163_L001_R1_001	96.44461483083461	56.0	249.36333466976095	251	36.36363636363637	0.683414
its-D02_S163_L001_R2_001	95.9438934525778	55.0	249.1225991858522	251	36.36363636363637	0.683414
its-D03_S171_L001_R1_001	95.793111408494	56.0	249.65390421705953	251	36.36363636363637	0.875041
its-D03_S171_L001_R2_001	95.37153116253981	56.0	249.39852418343827	251	36.36363636363637	0.875041
its-D04_S179_L001_R1_001	97.0636492109679	55.0	250.629431961611	251	36.36363636363637	1.0196669999999999
its-D04_S179_L001_R2_001	97.06639520549356	54.0	250.18936672462678	251	36.36363636363637	1.0196669999999999
its-D05_S187_L001_R1_001	97.3223949088705	50.0	250.20572782989987	251	36.36363636363637	0.646772
its-D05_S187_L001_R2_001	97.18138694934227	49.0	249.91252249633564	251	36.36363636363637	0.646772
its-D06_S195_L001_R1_001	97.36141519556918	56.0	250.26359974415314	251	36.36363636363637	0.761393
its-D06_S195_L001_R2_001	97.5711623300976	56.0	249.50815150651502	251	36.36363636363637	0.761393
its-D07_S203_L001_R1_001	97.62322442631337	50.0	250.3709611996135	251	36.36363636363637	0.7741159999999999
its-D07_S203_L001_R2_001	97.36473603439278	50.0	249.83451963271654	251	36.36363636363637	0.7741159999999999
its-D08_S211_L001_R1_001	94.84560109343025	49.0	250.30495757544773	251	36.36363636363637	0.665063
its-D08_S211_L001_R2_001	98.1146147056745	50.0	249.7010644104393	251	36.36363636363637	0.665063
its-D09_S219_L001_R1_001	97.1780542500656	58.0	250.50781604122432	251	36.36363636363637	0.6706719999999999
its-D09_S219_L001_R2_001	96.81871317126702	56.0	250.48993695875183	251	36.36363636363637	0.6706719999999999
its-D10_S227_L001_R1_001	96.96963475475805	59.0	250.44326090892292	251	36.36363636363637	0.535777
its-D10_S227_L001_R2_001	96.6855613436187	58.0	250.29919724064302	251	36.36363636363637	0.535777
its-D11_S235_L001_R1_001	96.7356446077769	55.0	250.0235004188397	251	36.36363636363637	0.925175
its-D11_S235_L001_R2_001	97.0467208906423	54.0	250.1839533061313	251	36.36363636363637	0.925175
its-D12_S243_L001_R1_001	97.53849743350443	63.0	250.27954872452946	251	36.36363636363637	0.822912
