SampleNumber	Tile	NumberOfReadsRaw	NumberOfReadsPF
2	1114	21220	21220
3	1114	17725	17725
4	1114	19508	19508
5	1114	17293	17293
6	1114	19410	19410
7	1114	20125	20125
8	1114	22584	22584
9	1114	18831	18831
10	1114	17900	17900
11	1114	18667	18667
12	1114	22353	22353
13	1114	23597	23597
14	1114	31714	31714
15	1114	28603	28603
16	1114	23927	23927
17	1114	22697	22697
18	1114	25220	25220
19	1114	22149	22149
20	1114	24003	24003
21	1114	22666	22666
22	1114	26558	26558
23	1114	27940	27940
24	1114	28632	28632
25	1114	22005	22005
26	1114	23954	23954
27	1114	22123	22123
28	1114	18293	18293
29	1114	18233	18233
30	1114	18440	18440
31	1114	19335	19335
32	1114	18970	18970
33	1114	18433	18433
34	1114	17683	17683
35	1114	22688	22688
36	1114	22290	22290
37	1114	19089	19089
38	1114	24547	24547
39	1114	29452	29452
40	1114	25688	25688
41	1114	24407	24407
42	1114	21891	21891
43	1114	22058	22058
44	1114	22812	22812
45	1114	22245	22245
46	1114	26016	26016
47	1114	21493	21493
48	1114	22309	22309
49	1114	18021	18021
50	1114	20467	20467
51	1114	22117	22117
52	1114	21528	21528
53	1114	21190	21190
54	1114	19604	19604
55	1114	28155	28155
56	1114	24593	24593
57	1114	17548	17548
58	1114	22658	22658
59	1114	13646	13646
60	1114	13445	13445
61	1114	18388	18388
62	1114	17049	17049
63	1114	18053	18053
64	1114	15724	15724
65	1114	13231	13231
66	1114	17219	17219
67	1114	11122	11122
68	1114	13698	13698
69	1114	14299	14299
70	1114	15826	15826
71	1114	16010	16010
