channel,well,adapter,collinear_confidence,conductance,conductance_filtered_data,event,experiment_tag,flow_cell_id,group_1_adjusted_offset_0mv_pa,group_1_adjusted_offset_0mv_std,group_1_offset_voltage_mv,group_order,include_well,initial_0mv_current_pa,initial_0mv_current_std,initial_current_0_pa,initial_current_1_pa,initial_current_2_pa,initial_voltage_0_mv,initial_voltage_1_mv,initial_voltage_2_mv,intercept,intercept_adjusted_0mv_current_pa,intercept_adjusted_0mv_current_std,multiple,mux_scan_assessment,mux_uncertain,pore,pore_1,pore_median,pore_sd,previous_offset,reserve_pore_intercept_median_mv,scan_number,scan_offset_voltage_mv,scan_running_voltage_mv,seconds_since_start_of_run,strand,strand2,strand_median,strand_range,total_good_samples,total_time_active,transition,unavailable,unclassed,unknown_negative,unknown_positive,zero
33,4,0,7.51,0.885,True,0,sample3,PAW72062,5.106,0.653,12,0,0,13.967,0.639,37.954,46.433,55.663,-30,-40,-50,12.691,4.406,0.403,0,unavailable,0,441,0,211.15,0.98,0,12.658,1,13,-177,6,0,0,,,441,0.0,0,38848,0,0,0,195
34,1,2228,1.35,0.882,True,27,sample3,PAW72062,5.324,0.624,12,1,1,13.839,0.745,37.391,46.144,55.032,-30,-40,-50,12.364,4.518,0.579,0,single_pore,0,4680,995,207.89,1.0,0,12.658,1,13,-177,6,31340,0,104.7,61.3,38275,0.0,0,16678,0,0,88,315
34,2,0,15.48,1.804,False,0,sample3,PAW72062,7.273,0.506,12,0,0,26.127,0.803,77.126,94.389,113.2,-30,-40,-50,12.585,5.682,0.632,9606,saturated,0,361,20582,248.38,1.93,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,25584,0
34,3,0,3.83,0.905,True,0,sample3,PAW72062,4.858,0.558,12,2,1,13.572,0.576,37.468,46.324,55.563,-30,-40,-50,11.334,4.161,0.512,0,single_pore,0,0,0,,,0,12.658,1,13,-177,6,60077,0,101.73,60.9,60077,0.0,0,0,0,0,0,0
34,4,0,6.44,0.057,False,0,sample3,PAW72062,1.622,0.956,12,0,0,3.616,1.836,2.185,2.431,3.321,-30,-40,-50,2.072,0.26,0.416,0,unavailable,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,29837,0,0,0,12675
35,1,773,3.05,0.9,True,62,sample3,PAW72062,5.807,0.639,12,3,1,14.83,0.714,38.742,47.587,56.737,-30,-40,-50,12.997,5.065,0.428,0,single_pore,0,4601,3,215.02,0.96,0,12.658,1,13,-177,6,35020,0,106.68,65.3,40456,0.0,0,14204,0,0,0,0
35,2,2399,3.44,0.924,True,80,sample3,PAW72062,6.503,0.72,12,1,1,15.794,0.694,40.097,49.167,58.581,-30,-40,-50,13.317,5.669,0.701,0,single_pore,0,3201,1190,216.55,1.04,0,12.658,1,13,-177,6,50074,0,109.06,59.3,55754,0.0,0,0,0,0,1080,0
35,3,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
35,4,0,6.64,0.901,True,0,sample3,PAW72062,5.636,0.606,12,2,1,14.72,0.645,38.953,47.628,56.967,-30,-40,-50,13.101,4.997,0.406,0,single_pore,0,241,6,213.23,2.26,0,12.658,1,13,-177,6,57397,0,106.11,62.4,57638,0.0,0,0,0,0,0,0
36,1,0,6.63,0.911,True,0,sample3,PAW72062,5.96,0.491,12,2,1,14.907,0.605,38.992,47.768,57.207,-30,-40,-50,12.668,5.258,0.519,0,single_pore,0,737,14,216.32,0.97,0,12.658,1,13,-177,6,54041,0,106.44,61.4,54778,0.0,0,0,0,0,0,0
36,2,1700,6.83,0.877,True,158,sample3,PAW72062,5.394,0.763,12,1,1,14.266,1.06,37.763,46.192,55.304,-30,-40,-50,12.9,4.766,0.754,0,single_pore,0,6266,1863,212.75,1.2,0,12.658,1,13,-177,6,42696,0,109.01,64.4,50820,0.0,0,0,0,0,843,543
36,3,0,3.35,0.907,True,9,sample3,PAW72062,0.246,0.405,12,3,1,14.464,0.588,38.357,47.255,56.488,-30,-40,-50,12.243,4.813,0.539,0,single_pore,0,813,0,215.93,0.87,0,12.658,1,13,-177,6,55043,0,103.45,62.4,55865,0.0,0,0,0,0,0,0
36,4,0,7.11,0.311,False,0,sample3,PAW72062,2.79,0.46,12,0,0,4.829,1.388,12.687,15.438,18.9,-30,-40,-50,10.239,2.234,0.651,0,unavailable,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,44631,0,0,0,0
37,1,782,8.46,1.808,False,981,sample3,PAW72062,12.348,0.613,12,0,0,30.056,0.765,77.951,95.61,114.115,-30,-40,-50,13.022,10.711,0.518,2638,multiple,0,1421,46000,231.05,1.39,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,4331,0
37,2,3633,3.66,0.688,True,67,sample3,PAW72062,5.246,0.781,12,0,0,13.525,1.158,35.754,42.453,49.518,-30,-40,-50,21.85,4.614,0.622,0,unavailable,0,2681,1282,213.29,1.19,0,12.658,1,13,-177,6,0,5002,,,6381,0.0,0,36134,0,0,908,859
37,3,0,-0.3,0.009,False,0,sample3,PAW72062,-0.247,0.574,12,0,0,-0.14,0.565,0.19,0.298,0.376,-30,-40,-50,-9.298,-0.248,0.584,0,zero,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,55194
37,4,3946,-3.78,0.949,True,3,sample3,PAW72062,6.263,0.571,12,1,1,15.069,0.746,38.776,48.451,57.748,-30,-40,-50,10.937,5.446,0.634,0,single_pore,0,2717,0,218.36,1.05,0,12.658,1,13,-177,6,50388,0,113.09,59.7,57054,0.0,0,0,0,0,0,0
38,1,0,,,False,0,sample3,PAW72062,,,12,0,0,,,,,,-30,-40,-50,,,,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
38,2,0,2.76,0.915,True,225,sample3,PAW72062,5.69,0.641,12,2,1,14.744,0.734,38.861,47.877,57.169,-30,-40,-50,12.398,4.973,0.664,0,single_pore,0,3723,269,218.93,1.01,0,12.658,1,13,-177,6,55190,0,105.13,61.6,59138,0.0,0,0,0,0,0,0
38,3,2002,1.37,0.892,True,36,sample3,PAW72062,5.236,0.601,12,1,1,14.081,0.617,37.865,46.719,55.71,-30,-40,-50,12.411,4.537,0.582,0,single_pore,0,1389,43,213.14,1.01,0,12.658,1,13,-177,6,49698,0,106.55,60.1,53125,0.0,0,0,0,0,497,350
38,4,467,3.75,0.894,True,68,sample3,PAW72062,5.268,0.764,12,3,1,13.901,1.047,37.716,46.471,55.601,-30,-40,-50,12.099,4.68,0.718,0,single_pore,0,4471,91,214.1,1.1,0,12.658,1,13,-177,6,51340,0,99.4,62.6,56346,0.0,0,0,0,0,152,0
39,1,0,5.92,0.906,True,39,sample3,PAW72062,5.754,0.526,12,2,1,14.633,0.687,38.699,47.467,56.827,-30,-40,-50,12.568,4.955,0.608,0,single_pore,0,1337,4,214.54,1.1,0,12.658,1,13,-177,6,48968,0,105.98,64.2,50344,0.0,0,5002,0,0,0,0
39,2,0,8.64,0.923,True,0,sample3,PAW72062,6.026,0.539,12,4,1,15.058,0.776,38.723,47.524,57.189,-30,-40,-50,11.746,5.303,0.6,0,single_pore,0,0,0,,,0,12.658,1,13,-177,6,55059,0,104.68,62.4,55059,0.0,0,0,0,0,0,0
39,3,0,4.99,0.904,True,44,sample3,PAW72062,5.332,0.532,12,3,1,14.212,0.685,38.119,46.905,56.19,-30,-40,-50,12.083,4.507,0.527,0,single_pore,0,2166,202,214.45,0.98,0,12.658,1,13,-177,6,52000,0,105.54,63.7,54210,0.0,0,0,0,0,0,0
39,4,0,0.63,0.897,True,50,sample3,PAW72062,5.583,0.546,12,1,1,14.45,0.743,38.537,47.475,56.476,-30,-40,-50,12.953,4.916,0.544,0,single_pore,0,3663,48,215.48,0.92,0,12.658,1,13,-177,6,48695,0,105.04,58.8,52408,0.0,0,0,0,0,0,0
40,1,2334,2.59,0.902,True,85,sample3,PAW72062,5.63,0.48,12,1,1,14.417,0.869,38.645,47.531,56.676,-30,-40,-50,12.814,4.926,0.506,0,single_pore,0,6140,109,215.06,0.94,0,12.658,1,13,-177,6,45103,0,105.06,64.7,53662,0.0,0,5507,0,0,0,0
40,2,0,23.48,2.965,False,0,sample3,PAW72062,19.512,0.778,12,0,0,53.7,1.086,136.552,165.023,195.842,-30,-40,-50,15.901,15.992,0.808,0,saturated,0,0,0,,,0,12.658,1,13,-177,6,0,0,,,0,0.0,0,0,0,0,0,0
