Sample	Filename	File type	Encoding	Total Sequences	Total Bases	Sequences flagged as poor quality	Sequence length	%GC	total_deduplicated_percentage	avg_sequence_length	median_sequence_length	basic_statistics	per_base_sequence_quality	per_tile_sequence_quality	per_sequence_quality_scores	per_base_sequence_content	per_sequence_gc_content	per_base_n_content	sequence_length_distribution	sequence_duplication_levels	overrepresented_sequences	adapter_content
its-G03_S174_L001_R2_001	its-G03_S174_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	701098.0	175.6 Mbp	0.0	35-251	52.0	3.1954163326667597	250.53091864475437	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G04_S182_L001_R1_001	its-G04_S182_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44030.0	11 Mbp	0.0	43-251	54.0	6.132182602770838	250.68553259141495	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G04_S182_L001_R2_001	its-G04_S182_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	44030.0	11 Mbp	0.0	43-251	53.0	6.391096979332274	250.5329093799682	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G05_S190_L001_R1_001	its-G05_S190_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	824891.0	206.1 Mbp	0.0	35-251	51.0	2.987425005243117	250.0095721737781	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G05_S190_L001_R2_001	its-G05_S190_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	824891.0	205.9 Mbp	0.0	35-251	50.0	3.273280954695833	249.8492528103713	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G06_S198_L001_R1_001	its-G06_S198_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	631607.0	157.7 Mbp	0.0	35-251	50.0	2.5633028133000426	250.24201600045598	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G06_S198_L001_R2_001	its-G06_S198_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	631607.0	157.8 Mbp	0.0	35-251	51.0	3.1829919554406456	249.84141721038557	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G07_S206_L001_R1_001	its-G07_S206_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	672325.0	167.9 Mbp	0.0	35-251	42.0	2.912728219239207	249.89543301230805	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G07_S206_L001_R2_001	its-G07_S206_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	672325.0	168.4 Mbp	0.0	35-251	41.0	2.047521659911501	250.58792994459526	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G08_S214_L001_R1_001	its-G08_S214_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	750680.0	187.4 Mbp	0.0	35-251	60.0	3.3834656578035913	250.1712101028401	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G08_S214_L001_R2_001	its-G08_S214_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	750680.0	187.7 Mbp	0.0	35-251	58.0	3.4580646880161985	250.37614429583843	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G09_S222_L001_R1_001	its-G09_S222_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	759141.0	189.7 Mbp	0.0	35-251	60.0	2.138996576393582	250.48355839033854	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G09_S222_L001_R2_001	its-G09_S222_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	759141.0	189.8 Mbp	0.0	35-251	58.0	3.369729734001984	250.4076489084373	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G10_S230_L001_R1_001	its-G10_S230_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	530536.0	132.3 Mbp	0.0	35-251	61.0	3.6221858648611973	250.1427631678152	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G10_S230_L001_R2_001	its-G10_S230_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	530536.0	132.5 Mbp	0.0	35-251	59.0	2.3977637709787833	249.98445534327547	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G11_S238_L001_R1_001	its-G11_S238_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	963299.0	240.4 Mbp	0.0	35-251	64.0	2.707570546631939	250.05294929196438	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G11_S238_L001_R2_001	its-G11_S238_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	963299.0	239.7 Mbp	0.0	35-251	62.0	2.472441059318031	248.59914003855502	251	pass	pass	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-G12_S246_L001_R1_001	its-G12_S246_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	980554.0	244.7 Mbp	0.0	35-251	60.0	2.6398342161675954	249.93020986095615	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
its-G12_S246_L001_R2_001	its-G12_S246_L001_R2_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	980554.0	244.1 Mbp	0.0	35-251	58.0	2.4081284661528075	248.85638016876175	251	pass	warn	pass	pass	fail	fail	pass	warn	fail	fail	pass
its-H01_S159_L001_R1_001	its-H01_S159_L001_R1_001.fastq.gz	Conventional base calls	Sanger / Illumina 1.9	528984.0	131.9 Mbp	0.0	35-251	57.0	3.3479273475190174	250.36347980279177	251	pass	pass	warn	pass	fail	fail	pass	warn	fail	fail	pass
